('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862397 function calls (838123 primitive calls) in 2.964 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1497    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      164    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1218    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     1606    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      164    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      333    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      328    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     4221    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  192/189    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      191    0.000    0.000    0.022    0.000 _compiler.py:573(_code)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    47/32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      941    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      497    0.000    0.000    0.000    0.000 enum.py:726(__call__)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      141    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
  213/177    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      122    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
    164/3    0.000    0.000    0.125    0.042 <frozen importlib._bootstrap_external>:989(exec_module)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:395(freeze)
       64    0.000    0.000    0.002    0.000 typing.py:694(Union)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.001    0.001 packages.py:1(<module>)
      2/1    0.000    0.000    2.709    2.709 poolmanager.py:425(urlopen)
        6    0.000    0.000    0.001    0.000 typing.py:2800(__new__)
  772/706    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      863    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.122    0.122 __init__.py:211(__init__)
        2    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
      141    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      740    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      863    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       28    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
      576    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        7    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      497    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
     1341    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
      189    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.000    0.000 constant.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
      195    0.000    0.000    0.000    0.000 filter.py:618(_attribute_match)
     1341    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      947    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       54    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      122    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      219    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       49    0.000    0.000    0.948    0.019 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    2.707    1.354 connectionpool.py:592(urlopen)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      737    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       54    0.000    0.000    0.001    0.000 typing.py:1467(__getitem__)
        8    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      174    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      206    0.000    0.000    0.000    0.000 typing.py:730(<genexpr>)
      100    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      299    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        2    0.000    0.000    2.578    1.289 connection.py:534(getresponse)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      485    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      311    0.000    0.000    0.060    0.000 __init__.py:226(compile)
      424    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      252    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      214    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.033    0.033 dammit.py:1(<module>)
      272    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      143    0.000    0.000    0.001    0.000 typing.py:1165(__init__)
        2    0.000    0.000    2.707    1.353 connectionpool.py:377(_make_request)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      333    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
