('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862734 function calls (838439 primitive calls) in 4.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
      192    0.000    0.000    0.035    0.000 _parser.py:969(parse)
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
     1650    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       41    0.000    0.000    0.001    0.000 response.py:1162(_update_chunk_length)
     1007    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:919(_convert_)
      139    0.000    0.000    0.001    0.000 typing.py:1260(__init__)
       21    0.000    0.000    0.305    0.015 __init__.py:1(<module>)
        7    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
       42    0.000    0.000    0.008    0.000 response.py:494(_decode)
      963    0.000    0.000    0.000    0.000 typing.py:1152(_is_dunder)
     1009    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     3126    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1525    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     2661    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      323    0.000    0.000    0.000    0.000 socket.py:733(readable)
      165    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1218    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
